name,lng,lat,description
Wood St. Access Point,-87.67268526797494,41.9142332535039,
Humboldt Blvd. Access Point,-87.70188915972909,41.91380212596308,
Spaulding Ave. Access Point,-87.71124470477304,41.91364244835695,
Drake Ave. Access Point,-87.71506417041024,41.91362648057441,
Western Ave. Access Point,-87.68746960406503,41.91396180316962,
Rockwell Ave. Access Point,-87.69216883425912,41.913897932334926,
California Ave. Access Point,-87.69721138720712,41.91386599689357,
